# Global sample schedule for Project 3 (MONSTER size)
# ORIGIN DEST FLIGHT_NUMBER DEPART ARRIVE ECONOMY BUSINESS FIRST
ICN NRT FW101 08:30 11:00 350 800 1400
ICN HKG FW102 09:15 12:30 400 900 1500
ICN PEK FW103 07:45 10:15 320 780 1350
ICN SIN FW104 10:00 15:30 500 1100 1900
NRT HKG FW105 12:00 15:30 300 750 1300
NRT ICN FW106 16:00 18:30 320 780 1350
NRT LAX FW107 09:30 19:30 650 1500 2600
HKG SIN FW108 13:30 17:00 280 720 1250
HKG SYD FW109 09:00 19:00 700 1500 2400
SIN SYD FW110 11:00 21:00 680 1450 2350
SIN DXB FW111 09:30 14:00 520 1200 2100
SIN ICN FW112 13:30 19:00 480 1150 2050
ICN LAX FW113 14:00 22:30 700 1550 2600
ICN SFO FW114 15:00 23:30 720 1600 2700
HKG LAX FW115 10:00 20:00 680 1500 2550
LHR CDG FW201 08:00 10:15 120 300 600
CDG FRA FW202 11:00 12:30 110 280 550
FRA AMS FW203 13:15 14:45 100 260 520
AMS LHR FW204 16:00 17:20 115 290 580
LHR DXB FW205 09:30 18:00 500 1300 2400
FRA DXB FW206 10:00 18:30 520 1350 2450
IST LHR FW207 07:00 10:00 220 520 900
IST DXB FW208 11:30 15:30 260 650 1150
DXB LHR FW209 14:00 19:30 520 1350 2500
DXB ICN FW210 08:30 18:30 600 1450 2550
DXB SIN FW211 09:00 17:00 580 1400 2500
DOH LHR FW212 06:30 12:00 480 1250 2350
DOH JFK FW213 08:00 17:00 650 1500 2700
DOH SYD FW214 10:00 20:30 800 1700 2800
JFK LAX FW301 08:00 11:00 220 600 1100
JFK SFO FW302 09:00 12:30 230 620 1150
JFK MEX FW303 07:30 11:00 210 580 1050
LAX SFO FW304 13:00 14:30 120 320 650
LAX HNL FW305 15:00 19:00 260 650 1200
HNL NRT FW306 10:00 20:00 500 1200 2100
SFO SEA FW307 09:30 11:30 140 320 650
SEA JFK FW308 13:00 19:30 260 640 1180
MEX LAX FW309 12:00 14:30 190 520 980
MEX GRU FW310 16:00 23:30 450 1050 1850
GRU JFK FW311 09:00 16:30 470 1100 1950
GRU JNB FW312 11:00 21:00 600 1300 2200
JNB DXB FW401 08:00 16:00 520 1250 2200
JNB LHR FW402 09:30 18:00 540 1300 2300
JNB NBO FW403 07:00 09:30 210 520 950
NBO DXB FW404 11:00 15:00 320 800 1500
NBO AMS FW405 13:00 19:00 480 1200 2100
SYD MEL FW501 08:00 09:30 130 300 600
MEL AKL FW502 11:00 16:00 300 700 1300
AKL SYD FW503 17:00 19:00 260 620 1150
SYD LAX FW504 10:00 20:00 720 1500 2600
SYD DXB FW505 12:00 20:30 780 1600 2700
SYD SIN FW506 07:30 13:00 520 1200 2100
LHR JFK FW601 13:00 16:00 400 950 1700
CDG JFK FW602 14:00 17:30 420 980 1750
AMS JFK FW603 15:00 18:00 430 990 1780
FRA ICN FW604 12:00 22:00 650 1450 2500
LAX ICN FW605 11:00 21:00 700 1550 2600
SFO HKG FW606 10:30 19:00 680 1500 2550
SEA ICN FW607 09:00 18:00 620 1400 2400
JFK LHR FW700 06:00 13:00 410 1025 1640
JFK LHR FW701 10:00 17:00 410 1025 1640
JFK LHR FW702 14:00 21:00 410 1025 1640
LHR JFK FW703 06:00 13:00 410 1025 1640
LHR JFK FW704 10:00 17:00 410 1025 1640
LHR JFK FW705 14:00 21:00 410 1025 1640
JFK CDG FW706 06:00 13:15 417 1042 1668
JFK CDG FW707 10:00 17:15 417 1042 1668
JFK CDG FW708 14:00 21:15 417 1042 1668
CDG JFK FW709 06:00 13:15 417 1042 1668
CDG JFK FW710 10:00 17:15 417 1042 1668
CDG JFK FW711 14:00 21:15 417 1042 1668
JFK AMS FW712 06:00 13:30 425 1062 1700
JFK AMS FW713 10:00 17:30 425 1062 1700
JFK AMS FW714 14:00 21:30 425 1062 1700
AMS JFK FW715 06:00 13:30 425 1062 1700
AMS JFK FW716 10:00 17:30 425 1062 1700
AMS JFK FW717 14:00 21:30 425 1062 1700
JFK FRA FW718 06:00 13:30 425 1062 1700
JFK FRA FW719 10:00 17:30 425 1062 1700
JFK FRA FW720 14:00 21:30 425 1062 1700
FRA JFK FW721 06:00 13:30 425 1062 1700
FRA JFK FW722 10:00 17:30 425 1062 1700
FRA JFK FW723 14:00 21:30 425 1062 1700
JFK ICN FW724 06:00 15:00 470 1175 1880
JFK ICN FW725 10:00 19:00 470 1175 1880
JFK ICN FW726 14:00 23:00 470 1175 1880
ICN JFK FW727 06:00 15:00 470 1175 1880
ICN JFK FW728 10:00 19:00 470 1175 1880
ICN JFK FW729 14:00 23:00 470 1175 1880
LAX JFK FW730 06:00 11:30 365 912 1460
LAX JFK FW731 10:00 15:30 365 912 1460
LAX JFK FW732 14:00 19:30 365 912 1460
JFK LAX FW733 06:00 11:30 365 912 1460
JFK LAX FW734 10:00 15:30 365 912 1460
JFK LAX FW735 14:00 19:30 365 912 1460
LAX LHR FW736 06:00 15:00 470 1175 1880
LAX LHR FW737 10:00 19:00 470 1175 1880
LAX LHR FW738 14:00 23:00 470 1175 1880
LHR LAX FW739 06:00 15:00 470 1175 1880
LHR LAX FW740 10:00 19:00 470 1175 1880
LHR LAX FW741 14:00 23:00 470 1175 1880
SFO LHR FW742 06:00 15:00 470 1175 1880
SFO LHR FW743 10:00 19:00 470 1175 1880
SFO LHR FW744 14:00 23:00 470 1175 1880
LHR SFO FW745 06:00 15:00 470 1175 1880
LHR SFO FW746 10:00 19:00 470 1175 1880
LHR SFO FW747 14:00 23:00 470 1175 1880
ICN DXB FW748 06:00 15:00 470 1175 1880
ICN DXB FW749 10:00 19:00 470 1175 1880
ICN DXB FW750 14:00 23:00 470 1175 1880
DXB ICN FW751 06:00 15:00 470 1175 1880
DXB ICN FW752 10:00 19:00 470 1175 1880
DXB ICN FW753 14:00 23:00 470 1175 1880
ICN DOH FW754 06:00 15:00 470 1175 1880
ICN DOH FW755 10:00 19:00 470 1175 1880
ICN DOH FW756 14:00 23:00 470 1175 1880
DOH ICN FW757 06:00 15:00 470 1175 1880
DOH ICN FW758 10:00 19:00 470 1175 1880
DOH ICN FW759 14:00 23:00 470 1175 1880
ICN SYD FW760 06:00 15:00 470 1175 1880
ICN SYD FW761 10:00 19:00 470 1175 1880
ICN SYD FW762 14:00 23:00 470 1175 1880
SYD ICN FW763 06:00 15:00 470 1175 1880
SYD ICN FW764 10:00 19:00 470 1175 1880
SYD ICN FW765 14:00 23:00 470 1175 1880
HKG DXB FW766 06:00 14:00 440 1100 1760
HKG DXB FW767 10:00 18:00 440 1100 1760
HKG DXB FW768 14:00 22:00 440 1100 1760
DXB HKG FW769 06:00 14:00 440 1100 1760
DXB HKG FW770 10:00 18:00 440 1100 1760
DXB HKG FW771 14:00 22:00 440 1100 1760
HKG LHR FW772 06:00 16:00 500 1250 2000
HKG LHR FW773 10:00 20:00 500 1250 2000
LHR HKG FW774 06:00 16:00 500 1250 2000
LHR HKG FW775 10:00 20:00 500 1250 2000
SIN LHR FW776 06:00 16:00 500 1250 2000
SIN LHR FW777 10:00 20:00 500 1250 2000
LHR SIN FW778 06:00 16:00 500 1250 2000
LHR SIN FW779 10:00 20:00 500 1250 2000
SIN JFK FW780 06:00 16:00 500 1250 2000
SIN JFK FW781 10:00 20:00 500 1250 2000
JFK SIN FW782 06:00 16:00 500 1250 2000
JFK SIN FW783 10:00 20:00 500 1250 2000
DXB JFK FW784 06:00 15:00 470 1175 1880
DXB JFK FW785 10:00 19:00 470 1175 1880
DXB JFK FW786 14:00 23:00 470 1175 1880
JFK DXB FW787 06:00 15:00 470 1175 1880
JFK DXB FW788 10:00 19:00 470 1175 1880
JFK DXB FW789 14:00 23:00 470 1175 1880
DXB SYD FW790 06:00 15:00 470 1175 1880
DXB SYD FW791 10:00 19:00 470 1175 1880
DXB SYD FW792 14:00 23:00 470 1175 1880
SYD DXB FW793 06:00 15:00 470 1175 1880
SYD DXB FW794 10:00 19:00 470 1175 1880
SYD DXB FW795 14:00 23:00 470 1175 1880
GRU LHR FW796 06:00 15:00 470 1175 1880
GRU LHR FW797 10:00 19:00 470 1175 1880
GRU LHR FW798 14:00 23:00 470 1175 1880
LHR GRU FW799 06:00 15:00 470 1175 1880
LHR GRU FW800 10:00 19:00 470 1175 1880
LHR GRU FW801 14:00 23:00 470 1175 1880
GRU CDG FW802 06:00 15:00 470 1175 1880
GRU CDG FW803 10:00 19:00 470 1175 1880
GRU CDG FW804 14:00 23:00 470 1175 1880
CDG GRU FW805 06:00 15:00 470 1175 1880
CDG GRU FW806 10:00 19:00 470 1175 1880
CDG GRU FW807 14:00 23:00 470 1175 1880
GRU SFO FW808 06:00 16:00 500 1250 2000
GRU SFO FW809 10:00 20:00 500 1250 2000
SFO GRU FW810 06:00 16:00 500 1250 2000
SFO GRU FW811 10:00 20:00 500 1250 2000
JNB JFK FW812 06:00 16:00 500 1250 2000
JNB JFK FW813 10:00 20:00 500 1250 2000
